fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.9346666666666666,0.8878868039708725,0.8578497103625831,0.8718954248366013,0.7457627118644068,0.7822222222222223
1,0.944,0.8996957530459426,0.8857876528641921,0.892542445733935,0.8008474576271186,0.8181818181818182
2,0.9333333333333333,0.8760469922767323,0.8708431667024243,0.8734151577753473,0.7796610169491526,0.7863247863247863
3,0.936,0.8942754227196952,0.8551947007080025,0.8731125491688871,0.7372881355932204,0.7837837837837838
4,0.9353333333333333,0.8988736920575204,0.8461837588500322,0.8695973650601599,0.7161016949152542,0.7770114942528735
5,0.9333333333333333,0.8755865780842654,0.8730068051755414,0.8742893155975113,0.7848101265822784,0.788135593220339
6,0.9373333333333334,0.9000659195781147,0.8548162402156809,0.8752914288948874,0.7341772151898734,0.7873303167420814
7,0.944,0.9047512110615636,0.8793409302745121,0.8913853028798411,0.7848101265822784,0.8157894736842105
8,0.932,0.8739342368678673,0.8687873958928409,0.8713312589353293,0.7763713080168776,0.7829787234042553
9,0.9466666666666667,0.9154603848091213,0.8774968179039258,0.895040304523063,0.7763713080168776,0.8214285714285714
