fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.9540907534897873,0.8952641165977356,0.9465216286378365,0.9182435228835528,0.9355192588980985,0.8641071830668768
1,0.953729413107147,0.8941453102107242,0.9471024231811639,0.9177879560614394,0.9374695270599708,0.8634296940780242
2,0.9527404815336047,0.8924509662212076,0.9453242504296726,0.9160458600581776,0.9345441248171623,0.8605421179639711
3,0.9525312844699707,0.8914926641010403,0.9464919700857218,0.9159106680783637,0.9377133105802048,0.8604182977295605
4,0.9524733268671193,0.8918780853459606,0.9451128383965602,0.9156102435424558,0.9344142386931611,0.8598351001177856
5,0.9535954051843822,0.8943017506358759,0.9458769551201953,0.9173996872147387,0.93465805193222,0.8627208281759874
6,0.9509518647420171,0.8875351815890522,0.9470933059003426,0.913661935927987,0.9414848226258686,0.8569209431345354
7,0.9535573686312546,0.8938884685992539,0.9467024591399604,0.9174724589624046,0.9367381764992686,0.8629014147765551
8,0.950875791635762,0.8879755906951479,0.9454118710406327,0.9132989249263724,0.9374695270599708,0.8562204286111884
9,0.9546033738422625,0.8956899244848053,0.9485641190760514,0.9193131550874105,0.9397854705021941,0.8659515920705341
