fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.929519607470237,0.9148888431053701,0.8033955207818722,0.8461992733322246,0.6200633837152608,0.7329971181556196
1,0.9287779087900803,0.9136561504662166,0.801416063748605,0.8443620032927811,0.6162847391516334,0.7297394818503283
2,0.9295956791297402,0.9168036783279463,0.8021489332183013,0.8458374863908961,0.6168941979522184,0.7322048611111112
3,0.9288539804495836,0.9137937779726236,0.8016101682327121,0.8445472699635026,0.6166504144319844,0.7300671044086875
4,0.9287955725452159,0.9153191591792622,0.8001120937657216,0.8438771151976503,0.613068389613556,0.7287349659469642
5,0.9288526273749073,0.9140878981336429,0.8013383694775097,0.8444325496638012,0.6159941484822626,0.729833176861414
6,0.9294421939483843,0.9141395704929887,0.8036751002727134,0.8461831444739318,0.6208704132634402,0.7330166954519286
7,0.9295182670546395,0.915009364453536,0.8032960136766196,0.8461612339443607,0.6198196001950268,0.7329201498991064
8,0.9284912801201956,0.9126412697732023,0.8010978693626867,0.8438241995679543,0.6159190638712823,0.7288331169767778
9,0.9284722618436317,0.9110760155096516,0.8023285718208049,0.8442681395069105,0.6189663578742077,0.7297549759287203
