fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.9387242782701305,0.9567521960192354,0.8089977103531847,0.8622377736718193,0.6204290589956118,0.7595881211759439
1,0.9377924004412156,0.9551692277831016,0.8066075106638397,0.8599194809040007,0.6159190638712823,0.7554758167003065
2,0.9389334753337644,0.9589760276436652,0.8084261391306575,0.8623659067760407,0.6187225743539737,0.7597096460375664
3,0.9391046365676468,0.9573205533108068,0.8100179118098476,0.8631974938542797,0.6223793271574841,0.7612941702698673
4,0.9370875411270231,0.9568348994332327,0.8030866655524446,0.8575238740511522,0.6083140314519079,0.75105358217941
5,0.9387040946349442,0.9574888234897396,0.808466442745778,0.8620099439814329,0.619163720590028,0.7591360884836709
6,0.9378482721895742,0.9563722170497939,0.8060713490671968,0.8598057584208473,0.6145312690479093,0.7552059925093633
7,0.9373918335520435,0.9561737475053891,0.8045824349823358,0.8585588106386777,0.6115309605070697,0.7529641302716494
8,0.9383617656567962,0.956943869716858,0.8075913173008447,0.8611683806462525,0.6175036567528035,0.7576460031406566
9,0.9371065594035869,0.9569332278501452,0.803121780176845,0.8575761121303094,0.6083617747440273,0.7511475656558055
