fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.9639230154805827,0.9382185847673621,0.92278756045505,0.9302846837181785,0.8629936616284739,0.8818583795229495
1,0.9652352516070138,0.9412335012925057,0.9247572695533797,0.9327483284233309,0.8659190638712823,0.8860064854078323
2,0.9661671294359286,0.9420981555362031,0.9276939386401197,0.9347078599795331,0.8717698683568991,0.889386308524529
3,0.9663002548400593,0.9432503621427847,0.9268785838973586,0.9348218867579043,0.8695758166747928,0.8895261845386534
4,0.9661474677164755,0.9438260450553995,0.925538337714432,0.9343797072341903,0.8665122516152627,0.8887221805451363
5,0.9645309142085544,0.9400659104441658,0.9231397484710813,0.9313412192098853,0.862976959648909,0.8836048180740186
6,0.9650634259523402,0.9406633283894159,0.9246973817469942,0.9324480767652573,0.866024625137145,0.8855095045185416
7,0.9651775356117228,0.942225519758334,0.9233322775258799,0.9324545206472696,0.8625060945880059,0.8854407808296315
8,0.9656910290789449,0.9410218629793837,0.9269649675769621,0.9338136964887758,0.870672842515846,0.887880671224363
9,0.9657861204617637,0.9402560514931617,0.9283129514042435,0.9341546328851542,0.8738420282788883,0.8885170725661523
