fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.9593396979955118,0.9328448528520383,0.9095402954086276,0.9206849499219503,0.8371526084836665,0.8653143505102684
1,0.9647598037351185,0.9430079545433541,0.9206503126733219,0.9313750638598156,0.856533398342272,0.8835104042245552
2,0.9643604275227264,0.9412117496718934,0.9210595364204054,0.9307653405569933,0.8581179912237933,0.8825372947223267
3,0.9592636263360085,0.935549188790842,0.9060176955040229,0.9199717682646793,0.8286201852754754,0.8638963019443385
4,0.9648922614632662,0.9438953352142523,0.9201738846924683,0.9315243630373822,0.8551749359990247,0.8837238599143361
5,0.9616020996177327,0.937823028605957,0.9133057605748169,0.9250099674276818,0.8431061806656102,0.8726263327234874
6,0.961830318936498,0.9367300326138017,0.9155774807328179,0.9257405358165613,0.848348165305376,0.8739717425431711
7,0.9630474886365797,0.9391226076627517,0.9179470236442162,0.9281233817607069,0.8523890784982935,0.8780212191600226
8,0.9624579220631027,0.9367705176671683,0.9182435677808554,0.9271904758078049,0.8539736713798147,0.8765169523332916
9,0.9627241779349955,0.9377922026517329,0.9181529132391608,0.9276176378540288,0.8533642125792297,0.8772083698784613
