fold,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1
0,0.9245939675174014,0.9194583298375383,0.7805064356805819,0.8297420431153595,0.5710628961482204,0.7026621672290964
1,0.9240995017306303,0.9235656638901277,0.7758417425591972,0.8269586036775809,0.5603364212579229,0.6973075464543042
2,0.9230915522422122,0.9215692390266954,0.7733071174218719,0.8243752782520755,0.5555826426133593,0.6927051671732523
3,0.9233387851355978,0.923712208610107,0.7728574379594617,0.8245168418913013,0.5541199414919551,0.6928293835251086
4,0.9232232175120291,0.9215343914381735,0.7738060748130414,0.8247814785968377,0.5566256247714251,0.6934467309590705
5,0.9231661626823378,0.9231612079602105,0.7725301126354203,0.8241130722472705,0.5535779592831891,0.6921201036427373
6,0.9243643141058557,0.925331844834234,0.775674560628935,0.8272507669155272,0.5595513836401317,0.6977274454662917
7,0.9240980582339628,0.9237169895053925,0.7757422875012441,0.8269131468068112,0.5600926377376889,0.6972156892496776
8,0.9234704551073581,0.9211721673230147,0.7750227217974901,0.8256971555444839,0.5592393954168698,0.6951515151515152
9,0.9244974420418022,0.92310221909036,0.7776679751515612,0.8283479456597849,0.5642369575816675,0.6998790444511642
