region,revenue,count_orders
MAHARASHTRA,13335534.14,21073
KARNATAKA,10481114.37,16394
TELANGANA,6916615.65,10637
UTTAR PRADESH,6816642.08,9947
TAMIL NADU,6515650.11,10809
DELHI,4393522.41,6644
KERALA,3830227.58,6151
WEST BENGAL,3507880.44,5547
ANDHRA PRADESH,3219831.72,5055
HARYANA,2882092.99,4188
GUJARAT,2728651.82,4153
RAJASTHAN,1761131.16,2535
MADHYA PRADESH,1592382.98,2367
BIHAR,1415613.32,1963
ODISHA,1386372.39,1998
PUNJAB,1211666.84,1805
ASSAM,1018136.2,1548
UTTARAKHAND,974143.55,1445
JHARKHAND,919088.21,1352
GOA,637685.85,1081
CHHATTISGARH,570485.83,864
HIMACHAL PRADESH,503364.51,724
JAMMU & KASHMIR,456932.74,649
MANIPUR,213981.99,301
CHANDIGARH,211740.67,318
PUDUCHERRY,192573.24,327
ANDAMAN & NICOBAR ISLANDS,158723.62,243
NAGALAND,145055.67,182
SIKKIM,140828.66,190
MEGHALAYA,119871.81,197
ARUNACHAL PRADESH,98265.0,140
TRIPURA,92548.4,141
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,42138.92,62
MIZORAM,41948.71,73
LADAKH,38388.43,42
UNKNOWN,18671.0,31
LAKSHADWEEP,3175.29,4
