region,revenue_sum,revenue_mean,revenue_std,qty_mean,qty_std,n_orders
MAHARASHTRA,13335534.14,632.8256128695488,272.2455566936262,0.9132075471698113,0.2912625346759315,22260.0
KARNATAKA,10481114.37,639.3262394778577,272.8858356719085,0.9177536650121205,0.2882798636849125,17326.0
TELANGANA,6916615.65,650.2412005264642,278.80419034084525,0.9049426301853486,0.3077002203569228,11330.0
UTTAR PRADESH,6816642.08,685.2962782748567,297.14185377721435,0.8929310020680579,0.32492988683413593,10638.0
TAMIL NADU,6515650.109999999,602.7986039411601,263.9171377561004,0.906731690324828,0.31275359197954244,11483.0
DELHI,4393522.41,661.2767022877784,283.5382141201658,0.9077752553916004,0.29710631201032367,7048.0
KERALA,3830227.58,622.699980490977,251.88721898132496,0.8827638572513288,0.3319494175713306,6585.0
WEST BENGAL,3507880.4400000004,632.3923634396972,272.2263951527027,0.8918329699815529,0.3207129620577964,5963.0
ANDHRA PRADESH,3219831.72,636.9597863501484,289.8808758543825,0.8874769797421731,0.34179820779274844,5430.0
HARYANA,2882092.99,688.178841929322,296.9993716219717,0.920951302378256,0.2931833949343815,4415.0
GUJARAT,2728651.8200000003,657.031500120395,270.1578616991374,0.9242593005123636,0.4222658096882641,4489.0
RAJASTHAN,1761131.1600000001,694.7262958579882,315.89200620181765,0.8947755702722591,0.3140120031615119,2718.0
MADHYA PRADESH,1592382.98,672.7431263202366,287.7457164314111,0.8936338473705022,0.3109216501384045,2529.0
BIHAR,1415613.32,721.1478960774325,311.8111501082182,0.8869441816461684,0.3284719598413294,2114.0
ODISHA,1386372.39,693.8800750750751,308.8170938874012,0.8934081346423562,0.3190967832942327,2139.0
PUNJAB,1211666.8399999999,671.2835678670359,308.4679313553107,0.9088066701406983,0.31888848871501113,1919.0
ASSAM,1018136.2000000001,657.710723514212,284.11612189925137,0.8917618761274805,0.31270445797954444,1663.0
UTTARAKHAND,974143.55,674.1477854671281,295.0670931350811,0.8918222794591114,0.3148250034988456,1553.0
JHARKHAND,919088.21,679.7989718934911,292.3280565767381,0.8818681318681318,0.3354038635302363,1456.0
GOA,637685.8500000001,589.9036540240519,251.36430026156776,0.9278803869832893,0.2720653138051715,1137.0
CHHATTISGARH,570485.83,660.284525462963,282.87155430963674,0.9042904290429042,0.301744683273901,909.0
HIMACHAL PRADESH,503364.51,695.2548480662983,310.304705369844,0.8565989847715736,0.3507039304890485,788.0
JAMMU & KASHMIR,456932.74,704.0566101694915,305.60858782498275,0.8789173789173789,0.3393120025936372,702.0
MANIPUR,213981.99,710.9036212624584,303.04629779596837,0.930379746835443,0.25490959760979287,316.0
CHANDIGARH,211740.66999999998,665.8511635220125,283.18020975977174,0.9129129129129129,0.28238695613538,333.0
PUDUCHERRY,192573.24,588.9089908256881,248.82017582718586,0.8831908831908832,0.33895143440923053,351.0
ANDAMAN & NICOBAR ISLANDS,158723.62,653.1836213991769,272.07959352600767,0.8793774319066148,0.3604505665066177,257.0
NAGALAND,145055.66999999998,797.0091758241757,347.8874609052734,0.9786096256684492,0.3732625593150461,187.0
SIKKIM,140828.66,741.2034736842105,272.59726457446,0.8878048780487805,0.31637896266234844,205.0
MEGHALAYA,119871.81,608.4863451776649,260.04887629656224,0.8888888888888888,0.3150315475375523,207.0
ARUNACHAL PRADESH,98265.0,701.8928571428571,267.3345735331786,0.9183673469387755,0.27474032775258533,147.0
TRIPURA,92548.4,656.3716312056737,269.91235522618956,0.8874172185430463,0.3171339644927338,151.0
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,42138.92,679.66,286.91070323845867,0.8285714285714286,0.3796042398103419,70.0
MIZORAM,41948.71,574.6398630136986,189.91724757475254,0.9078947368421053,0.37157795338070915,76.0
LADAKH,38388.43,914.0102380952382,320.60057972413915,0.9302325581395349,0.2577696311132336,43.0
UNKNOWN,18671.0,602.2903225806451,236.26132333335013,0.8235294117647058,0.3869529949759475,49464.0
LAKSHADWEEP,3175.29,793.8225,50.5178452793334,0.75,0.5,4.0
