SKU,total_revenue,orders,revenue_mean,revenue_std,qty_mean,qty_std
J0230-SKD-M,527699.2,472,1118.006779661017,244.33794906545725,0.9230769230769231,0.2811607785577666
JNE3797-KR-L,524581.77,722,726.5675484764544,111.21519722084805,0.8551099611901681,0.35587649159661067
J0230-SKD-S,479937.14,428,1121.3484579439253,182.05549849182242,0.9314159292035398,0.26998354965616694
JNE3797-KR-M,454290.16,621,731.5461513687601,136.2414391942207,0.8538812785388128,0.37848503115784904
JNE3797-KR-S,407302.57,553,736.5326763110307,98.00150979352252,0.8568994889267462,0.3553096929931577
JNE3797-KR-XL,332155.24,446,744.7426905829597,96.5650977026251,0.8755274261603375,0.3430250890529561
J0230-SKD-L,305616.95,275,1111.3343636363636,281.99872725656024,0.9158249158249159,0.29001178270345174
JNE3797-KR-XS,303616.7,407,745.9869778869778,130.85226881542724,0.8955916473317865,0.35536297895784197
SET268-KR-NP-XL,284058.96,372,763.5993548387096,104.26864882803275,0.966321243523316,0.1944835062335395
JNE3797-KR-XXXL,276375.8,374,738.9727272727274,78.65109945592083,0.9145077720207254,0.2891041086766574
